ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
AGhsB160215	5.41e-57	3.60e-61	-25.944517	128.593974	-1.7331991	ACTG1	actin, gamma 1
AGhsB010417	2.67e-52	3.55e-56	-23.812483	117.256091	-2.6891173	ACTB	actin, beta
AGhsA150207	1.48e-48	2.95e-52	-22.208076	108.338993	-1.2285192	PFN1	profilin 1
AGhsA180304	5.14e-48	1.37e-51	-21.941338	106.824177	-1.975529	CFL1	cofilin 1 (non-muscle)
AGhsA090916	1.09e-47	3.64e-51	-21.771759	105.856346	-1.5125303	IL32	interleukin 32
AGhsB010124	2.11e-47	8.41e-51	-21.627122	105.027931	-2.7098888	ACTB	actin, beta
AGhsB220319	5.38e-47	2.50e-50	-21.439315	103.948233	-1.4400168		
AGhsC010124	3.10e-45	1.65e-48	-20.726007	99.806176	-2.5698366	ACTB	actin, beta
AGhsA180518	8.50e-43	5.09e-46	-19.766204	94.130906	-1.4370637	LSP1	lymphocyte-specific protein 1
AGhsA180106	3.77e-42	2.51e-45	-19.502285	92.55024	-1.2284181	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta
AGhsC061107	1.06e-41	7.75e-45	19.316755	91.433956	1.1515903		
AGhsC060407	1.18e-41	9.40e-45	19.284966	91.242269	0.9108676		
AGhsA020208	1.70e-41	1.47e-44	-19.211439	90.798437	-0.9911405	PRKD2	protein kinase D2
AGhsB080403	1.71e-41	1.59e-44	19.19849	90.720207	0.5685243		
AGhsB140209	2.19e-41	2.19e-44	-19.146296	90.404669	-0.6965212	NDUFV1	NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa
AGhsA030502	5.22e-40	5.65e-43	18.616589	87.183952	0.8952662	EDA2R	ectodysplasin A2 receptor
AGhsA140807	5.22e-40	5.90e-43	-18.609551	87.140934	-0.9222995	CD37	CD37 molecule
AGhsB161009	7.96e-40	9.53e-43	-18.531776	86.665204	-1.1412011		
AGhsB201206	2.44e-39	3.09e-42	18.341787	85.50014	0.9797389		
AGhsB181203	5.19e-39	6.91e-42	18.212038	84.70211	0.920876		
AGhsA081323	6.32e-39	8.84e-42	-18.172449	84.45823	-0.9275051	RAC2	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)
AGhsA151203	7.15e-39	1.05e-41	-18.145213	84.290349	-1.0663258	PPP4C	protein phosphatase 4 (formerly X), catalytic subunit
AGhsA140106	3.78e-38	5.78e-41	-17.871131	82.596293	-0.8198265	EEF2	eukaryotic translation elongation factor 2
AGhsC031307	5.13e-38	8.19e-41	-17.81552	82.251553	-0.6056469		
